Date,SPY,XLK,XLF,XLE,XLI,XLP,XLU,XLV,XLY,XLB,XLRE,XLC
2018-07-31,0.0370783979635827,0.020867495930687152,0.0510766375402405,0.015513680823701748,0.07391741010839481,0.03953344702770423,0.01600288142506523,0.06557370726891287,0.01807965751853846,0.02863692523520922,0.010414357740225144,-0.021615832187531492
2018-08-31,0.03183344154301726,0.06602927995219599,0.01372790311553862,-0.034712001296864914,0.00233799387487732,0.003942362822932477,0.012888957755208486,0.043267136930161376,0.05093861460484317,-0.007727760521692328,0.02420407893224885,0.014884605744326818
2018-09-30,0.005989172680778143,-0.00024835723482663496,-0.02219747272524064,0.02441246795052998,0.021710137374722382,0.0098651437146966,-0.006559489704150767,0.02957811464670579,0.005322996954459924,-0.017939723119894224,-0.026406331807951378,-0.0010301030736333816
2018-10-31,-0.06909282298110586,-0.08004363291176131,-0.04711325863421223,-0.11328591648054853,-0.10868751465424209,0.02002877175167117,0.019687078575661543,-0.06779664824297271,-0.10100121709620391,-0.09185685474414895,-0.01596552675413021,-0.060411916720725434
2018-11-30,0.018461009005170448,-0.019617397391085256,0.026276496742839495,-0.01568366157118506,0.03809126766803472,0.022727318714627742,0.03542435086627438,0.08085404776276928,0.024793960116212377,0.03802604206477245,0.054880320800581917,-0.022318125493353325
2018-12-31,-0.08805332518062003,-0.08372661288213001,-0.1115069641475368,-0.12433493945880203,-0.10663080445462036,-0.08922144907694096,-0.03988500108281079,-0.09353416179532792,-0.07953578970714448,-0.06890560630485398,-0.07342730269797482,-0.07996328814892684
2019-01-31,0.08001358629724864,0.06938946873451846,0.08896398439626241,0.11211491821591335,0.11427884216637652,0.05143338771307482,0.034733714327801035,0.048068314854348815,0.09860258614277528,0.05606533759968535,0.1074453678390026,0.1174751358838324
2019-02-28,0.03256438951469964,0.06912076936606426,0.022380692539352598,0.02303185618313952,0.06367613804684225,0.017767860832196947,0.04106386575556975,0.010845231055166105,0.013302564200368128,0.031857382553731384,0.01102525350214889,-0.004611140569311445
2019-03-31,0.017973901452073004,0.04764254941620094,-0.02576126724411887,0.02120109682730198,-0.011467886698287133,0.038293207746336044,0.027949122810766003,0.004777674470433757,0.03662645160076039,0.012573138989088406,0.049414702162845936,0.02029444819060444
2019-04-30,0.040947329564220425,0.06362428039044676,0.08988679466216132,-0.00012795086686712143,0.03969855151255164,0.02851506596491782,0.009293093055642299,-0.027119196232077925,0.05468707445939325,0.035122145877685584,-0.005286918045045441,0.07050662107950822
2019-05-31,-0.06387624909945377,-0.08662519624630738,-0.07176431314918053,-0.11106642413827783,-0.0764063548953311,-0.036402068930121434,-0.007840092590113756,-0.022188498933679135,-0.07610735251080236,-0.08181406472814101,0.012186333165588703,-0.059471039276938975
2019-06-30,0.06964243702672834,0.0893710185337524,0.06655257653546309,0.09408752519228392,0.07928015062226046,0.05223319701964235,0.03195481698887859,0.06596539973915005,0.0781098606245807,0.1156937877058537,0.016170463508275335,0.04776658242804177
2019-07-31,0.01509062576888387,0.03499495908312289,0.023587867325028933,-0.015888769217177745,0.005170588436187229,0.023423453825199614,-0.0013737783329209607,-0.016201061311350684,0.012556170065675776,-0.0026890559805919922,0.017429253118299126,0.03172286192797147
2019-08-31,-0.016684172254989083,-0.015358955913562844,-0.04709958349110188,-0.08325343132948027,-0.026486457101697614,0.021696639072635415,0.05089972325503633,-0.005927780434734742,-0.009174468520904977,-0.028291069217411757,0.048126786610108496,-0.024642905575672502
